id,client_id,card_brand,card_type,card_number,expires,cvv,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed,card_on_dark_web,current_age,retirement_age,birth_year,birth_month,gender,address,latitude,longitude,per_capita_income,yearly_income,total_debt,credit_score,num_credit_cards,id_right,date,card_id,amount,use_chip,merchant_id,merchant_city,merchant_state,zip,mcc,errors
4414,1742,Visa,Debit,4155430243935975,10/2022,653,YES,1,$24123,08/2013,2013,No,58,67,1961,11,Female,444 Maple Avenue,40.05,-86.03,$24638,$50232,$1218,751,4,17216200,2016-01-10 11:32:00,4559,$149.56,Online Transaction,80770,ONLINE,,,7922,
1034,1853,Mastercard,Debit,5722400079160426,01/2024,357,NO,2,$8149,02/2004,2007,No,39,70,1980,5,Male,546 First Avenue,40.34,-94.87,$18226,$37165,$0,771,3,20967429,2018-03-19 00:16:00,6043,$9.40,Chip Transaction,14537,Maryville,MO,64468.0,5912,
2156,285,Visa,Debit,4141516913053061,05/2020,962,YES,1,$20723,03/2007,2013,No,62,69,1957,8,Male,702 Elm Drive,36.95,-121.72,$16920,$34496,$33122,731,5,15030113,2014-09-27 08:43:00,3442,$18.83,Online Transaction,81759,ONLINE,,,7349,
5021,350,Mastercard,Debit,5428371634860438,06/2009,574,YES,2,$24413,10/2005,2015,No,62,70,1957,8,Female,102 Seventh Avenue,39.14,-76.77,$28673,$58463,$141151,737,4,13139672,2013-08-08 22:49:00,3709,$34.77,Online Transaction,18563,ONLINE,,,4121,
4419,1228,Visa,Debit,4499077671227490,02/2021,551,NO,1,$30393,08/2013,2013,No,54,61,1965,7,Male,456 Sixth Boulevard,30.26,-97.74,$23287,$47482,$59590,726,5,9509645,2011-05-08 19:27:00,4332,$38.39,Swipe Transaction,44578,San Antonio,TX,78218.0,5812,
63,275,Visa,Debit,4651206649559689,04/2023,125,YES,1,$30891,01/2004,2011,No,43,58,1977,2,Female,973 River Street,29.56,-95.02,$37415,$76288,$120771,710,4,14072637,2014-03-01 17:20:00,3036,$60.53,Swipe Transaction,83038,Seabrook,TX,77586.0,5812,
176,490,Visa,Debit,4654267845248719,10/2021,929,YES,3,$30242,01/2008,2013,No,86,68,1933,9,Male,90 Lexington Drive,29.45,-98.5,$29557,$33426,$1852,699,4,10839245,2012-03-10 16:47:00,5963,$1.85,Swipe Transaction,14528,San Antonio,TX,78230.0,5499,
2715,1520,Mastercard,Debit (Prepaid),5139150904667380,05/2016,509,YES,1,$86,04/2013,2013,No,67,65,1952,10,Male,8787 Rose Avenue,37.72,-122.44,$22549,$47213,$1082,789,5,19303395,2017-03-31 15:58:00,2956,$46.98,Chip Transaction,8702,San Francisco,CA,94112.0,5411,
5922,1405,Amex,Credit,343577155217599,07/2013,751,YES,2,$12400,12/2008,2010,No,45,71,1974,4,Male,70 Tenth Boulevard,47.91,-97.07,$23910,$48755,$37315,777,8,17420883,2016-02-23 06:00:00,5420,$59.23,Swipe Transaction,90865,Grand Forks,ND,58203.0,5311,
4009,1031,Mastercard,Credit,5445191857932855,10/2015,194,YES,2,$5600,07/2013,2013,No,61,68,1959,1,Male,6762 Second Street,39.75,-104.42,$26369,$53762,$37361,689,8,10599555,2012-01-15 08:00:00,3002,$5.45,Swipe Transaction,17493,Castle Rock,CO,80104.0,5812,
1080,762,Mastercard,Debit,5899151162296319,11/2020,920,YES,1,$13569,02/2006,2007,No,49,59,1970,9,Male,813 Fifth Boulevard,40.63,-82.96,$18293,$37298,$52134,683,1,19358069,2017-04-12 10:47:00,1080,$46.36,Chip Transaction,11468,Mount Gilead,OH,43338.0,5970,Technical Glitch
1301,1066,Mastercard,Debit,5803246848212927,08/2023,269,YES,2,$20060,02/2012,2012,No,46,65,1973,6,Female,9846 Second Lane,40.27,-75.26,$26545,$54124,$0,727,2,14739343,2014-07-25 20:51:00,1301,$32.91,Online Transaction,73186,ONLINE,,,4814,
4718,641,Mastercard,Debit,5316778308007531,01/2022,916,YES,2,$12275,09/2009,2009,No,62,68,1957,11,Male,878 Forest Street,39.98,-82.98,$18420,$37556,$0,735,6,17167242,2015-12-30 16:37:00,14,$34.72,Chip Transaction,75936,Columbus,OH,43228.0,5814,
5488,1078,Mastercard,Debit,5446646218200600,12/2022,473,YES,2,$23244,11/2007,2007,No,56,65,1963,12,Female,291 Seventh Drive,40.6,-88.98,$28237,$57576,$161107,589,2,16303571,2015-06-29 10:34:00,5488,$3.91,Chip Transaction,20519,Miami,FL,33193.0,5942,
883,58,Visa,Debit,4744550421746165,12/2024,524,YES,1,$17355,01/2020,2020,No,38,66,1981,4,Female,6561 George Avenue,38.81,-90.96,$25756,$52512,$95640,706,2,17321890,2016-02-01 20:00:00,1324,$22.36,Online Transaction,18563,ONLINE,,,4121,
3588,1058,Visa,Credit,4970700220086771,08/2014,312,YES,2,$8000,06/2014,2014,No,61,67,1958,3,Male,5363 Tenth Lane,36.18,-87.34,$17261,$35196,$51751,684,4,23453326,2019-08-27 11:02:00,1102,$83.33,Chip Transaction,1868,Charlotte,TN,37036.0,7230,
2540,1881,Mastercard,Debit (Prepaid),5449948874033393,10/2009,208,YES,1,$94,04/2007,2009,No,67,67,1952,9,Male,159 Mill Street,42.05,-83.38,$22321,$56542,$9097,733,6,16167660,2015-05-31 10:03:00,2554,$3.57,Chip Transaction,20519,Dearborn,MI,48126.0,5942,
3001,1644,Mastercard,Debit,5998143511839617,05/2022,174,YES,1,$8304,05/2009,2013,No,83,65,1937,1,Male,637 Seventh Street,34.66,-83.09,$15406,$31943,$1248,686,6,7958701,2010-05-02 16:52:00,3444,$48.38,Swipe Transaction,75781,Williamston,SC,29697.0,5411,
3172,461,Mastercard,Debit,5102353988152905,12/2022,667,YES,2,$20913,05/2016,2016,No,42,68,1977,12,Female,28 Hillside Boulevard,42.3,-83.48,$32078,$65403,$80057,784,4,17514267,2016-03-15 06:28:00,5482,$3.94,Chip Transaction,78758,Canton,MI,48188.0,5411,
3025,1741,Visa,Debit (Prepaid),4148892255805747,02/2023,546,YES,1,$56,05/2009,2010,No,92,67,1927,10,Male,31 Hillside Lane,32.21,-110.88,$17460,$24960,$889,707,9,22811391,2019-04-13 15:10:00,6078,$135.16,Chip Transaction,75781,Tucson,AZ,85711.0,5411,
39,696,Mastercard,Debit,5562768142811109,10/2024,267,YES,2,$21225,01/2003,2012,No,74,67,1945,7,Female,5064 North Lane,40.63,-73.72,$45685,$110570,$5700,766,8,13448148,2013-10-15 17:45:00,2695,$81.39,Swipe Transaction,62001,Woodmere,NY,11598.0,5812,
6076,261,Visa,Debit,4217828092270661,04/2021,909,YES,1,$30650,12/2012,2012,No,41,66,1979,2,Male,7061 Littlewood Street,36.0,-114.96,$28985,$59093,$117325,737,5,22392616,2019-01-14 20:43:00,30,$3.03,Chip Transaction,81833,Boulder City,NV,89005.0,5912,
