id,client_id,card_brand,card_type,card_number,expires,cvv,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed,card_on_dark_web,current_age,retirement_age,birth_year,birth_month,gender,address,latitude,longitude,per_capita_income,yearly_income,total_debt,credit_score,num_credit_cards,transaction_id,date,card_id,amount,use_chip,merchant_id,merchant_city,merchant_state,zip,mcc,errors,CLASS_fraud_label
5057,1735,Mastercard,Credit,5129342889760157,04/2024,444,YES,2,$11900,10/2006,2015,No,56,66,1963,5,Male,9291 Jefferson Drive,27.64,-80.39,$17942,$36583,$56310,614,6,15037119,2014-09-28 15:27:00,3336,$99.18,Online Transaction,9932,ONLINE,,,5311,,No
2624,1648,Visa,Debit,4559856655520965,04/2021,475,NO,2,$5921,04/2009,2010,No,66,69,1953,5,Female,211 Valley Street,40.76,-74.59,$91180,$185909,$461854,621,5,18972269,2017-01-20 08:57:00,1187,$55.89,Swipe Transaction,36934,Morris Plains,NJ,7950.0,7538,,
2049,1104,Visa,Debit,4860568003530350,06/2005,137,YES,1,$14383,03/2003,2011,No,91,66,1928,3,Male,120 Lafayette Boulevard,26.23,-80.13,$18266,$40141,$805,850,6,23504558,2019-09-07 08:44:00,4768,$14.36,Swipe Transaction,20519,Miami,FL,33126.0,5942,,No
2539,1077,Mastercard,Debit,5324493090826390,11/2014,819,YES,2,$17034,04/2007,2007,No,57,54,1962,12,Female,886 Plum Boulevard,39.12,-123.28,$17899,$12044,$10323,576,3,11267025,2012-06-16 01:36:00,4104,$3.00,Swipe Transaction,59397,Arcata,CA,95518.0,5812,,
2253,1098,Mastercard,Debit,5547459880579017,02/2020,116,YES,2,$16868,03/2010,2010,No,50,71,1969,3,Male,772 Fifth Boulevard,42.67,-95.3,$16901,$34456,$54634,752,4,8989227,2011-01-06 10:31:00,4626,$14.51,Swipe Transaction,79664,Alta,IA,51002.0,5814,,
3329,1520,Visa,Debit,4185031026466058,01/2018,48,YES,2,$24544,06/2006,2013,No,67,65,1952,10,Male,8787 Rose Avenue,37.72,-122.44,$22549,$47213,$1082,789,5,17900081,2016-06-05 15:56:00,2956,$53.89,Chip Transaction,49789,San Francisco,CA,94112.0,5541,,No
4689,711,Visa,Debit,4460024958657540,01/2020,704,YES,2,$9562,09/2008,2011,No,39,60,1980,10,Male,6757 Eighth Avenue,39.01,-89.78,$20056,$40894,$51844,657,1,8956238,2010-12-29 13:07:00,4689,$60.00,Swipe Transaction,27092,Belleville,IL,62221.0,4829,,No
2127,1905,Visa,Credit,4646061658785929,02/2015,856,YES,1,$6700,03/2006,2012,No,36,68,1983,12,Male,9340 Valley Street,27.48,-82.57,$13972,$28489,$6087,808,4,16727281,2015-09-27 22:06:00,4806,$32.67,Chip Transaction,94123,Parrish,FL,34219.0,5310,,No
2560,629,Mastercard,Debit,5164347231652886,04/2024,14,YES,2,$24739,04/2008,2011,No,72,70,1947,5,Male,4388 Hillside Street,39.27,-76.83,$39053,$57513,$11755,793,5,9128479,2011-02-08 10:35:00,124,$29.61,Swipe Transaction,61195,Ellicott City,MD,21043.0,5541,,
90,852,Amex,Credit,377759808724051,10/2023,360,YES,1,$10300,01/2006,2013,No,35,68,1985,1,Female,955 11th Street,29.82,-82.59,$19693,$40156,$70128,738,3,20712395,2018-01-23 18:15:00,4187,$40.16,Chip Transaction,50783,Keystone Heights,FL,32656.0,5411,,No
5588,161,Visa,Debit,4764927598078199,12/2016,254,YES,1,$11168,11/2009,2009,No,31,70,1988,11,Male,237 Hill Lane,31.56,-97.18,$11512,$23469,$22976,731,3,21147261,2018-04-26 06:35:00,3096,$2.38,Chip Transaction,50783,Waco,TX,76708.0,5411,,No
2258,702,Visa,Credit,4071413558241551,04/2021,58,YES,1,$20100,03/2010,2017,No,46,68,1973,7,Female,33 Tenth Street,40.84,-73.4,$34873,$71103,$136853,721,4,13896469,2014-01-22 08:52:00,2258,$160.00,Swipe Transaction,27092,Littleton,MA,1460.0,4829,,
5018,1859,Visa,Debit,4441559114756148,03/2022,974,YES,1,$15374,10/2004,2016,No,68,66,1952,1,Male,530 Federal Drive,41.44,-74.42,$22621,$38689,$8942,836,5,7994012,2010-05-11 11:33:00,2419,$8.49,Swipe Transaction,64908,Middletown,NY,10940.0,5812,,No
3920,1417,Visa,Debit,4551485171901900,11/2018,892,YES,2,$15285,07/2009,2009,No,54,68,1965,3,Female,336 Catherine Lane,42.63,-83.61,$25838,$52680,$87082,835,5,17348792,2016-02-07 16:11:00,2975,$17.92,Swipe Transaction,40230,Highland,MI,48357.0,5812,,
3810,1921,Mastercard,Credit,5454401798231056,12/2024,360,YES,1,$2900,07/2007,2012,No,44,65,1975,3,Male,704 Third Avenue,34.12,-83.22,$15726,$32064,$9833,709,3,11141910,2012-05-18 16:48:00,3810,$17.10,Swipe Transaction,48919,Elberton,GA,30635.0,5311,,
3036,275,Amex,Credit,325342510254113,07/2024,179,YES,2,$15600,05/2010,2019,No,43,58,1977,2,Female,973 River Street,29.56,-95.02,$37415,$76288,$120771,710,4,17173783,2016-01-01 09:10:00,63,$9.38,Chip Transaction,50867,South Houston,TX,77587.0,5541,,
2733,1484,Visa,Credit,4941415000431974,11/2022,50,YES,2,$12800,04/2014,2014,No,92,72,1927,8,Female,290 Forest Street,32.28,-110.73,$30818,$57732,$2261,726,6,14873294,2014-08-24 02:10:00,4764,$40.00,Swipe Transaction,27092,Tucson,AZ,85705.0,4829,,
5073,665,Discover,Credit,6073415333610129,09/2019,544,YES,1,$9500,10/2007,2011,No,81,65,1939,1,Female,374 Lexington Street,41.23,-80.81,$12406,$11613,$427,790,8,23293187,2019-07-24 15:24:00,2798,$1.90,Online Transaction,39021,ONLINE,,,4784,,No
2891,1026,Visa,Credit,4683287791246500,05/2018,517,NO,1,$6200,05/2005,2013,No,84,70,1935,5,Male,2116 Second Drive,36.52,-119.39,$13194,$17016,$691,714,4,7526984,2010-01-14 08:02:00,2870,$4.01,Swipe Transaction,15921,Dinuba,CA,93618.0,5812,,
105,783,Mastercard,Credit,5084097673104529,10/2007,908,YES,2,$5600,01/2006,2008,No,62,61,1957,9,Male,641 Martin Luther King Avenue,35.31,-106.55,$15966,$29769,$14542,693,3,15571372,2015-01-22 14:00:00,5795,$8.06,Chip Transaction,13956,Bernalillo,NM,87004.0,5300,,No
979,1102,Mastercard,Debit,5940949386888214,01/2019,618,YES,2,$39080,02/2000,2017,No,49,65,1970,7,Female,836 Bayview Avenue,36.12,-95.91,$46461,$94733,$0,707,5,15836202,2015-03-21 03:52:00,5651,$180.00,Chip Transaction,27092,Grove,OK,74344.0,4829,,No
2336,1515,Visa,Credit,4780949143263441,08/2023,540,YES,2,$7700,03/2014,2014,No,77,67,1942,12,Female,7239 Hill Lane,40.34,-76.42,$20983,$30457,$19314,520,5,23310255,2019-07-28 07:36:00,5558,$13.41,Chip Transaction,83480,Lebanon,PA,17042.0,9402,,No
2653,1983,Mastercard,Debit,5340780229634197,07/2023,257,YES,1,$47211,04/2010,2010,No,50,67,1969,3,Male,655 George Boulevard,33.55,-117.78,$69236,$141161,$0,773,3,21393219,2018-06-17 10:10:00,2653,$10.81,Chip Transaction,58854,Laguna Beach,CA,92651.0,5411,,No
4201,4,Mastercard,Debit,5693655667464241,12/2023,500,YES,2,$9683,08/2007,2016,No,54,72,1965,3,Female,6016 Little Creek Boulevard,47.61,-122.3,$37485,$76431,$115362,716,5,15794686,2015-03-11 21:25:00,303,$42.78,Swipe Transaction,25887,Seattle,WA,98122.0,5814,,
444,811,Mastercard,Debit,5064137987234665,02/2020,599,YES,2,$53549,01/2020,2020,No,91,68,1929,2,Female,5492 Maple Drive,38.9,-94.68,$51642,$84694,$2149,741,7,12048708,2012-12-09 14:55:00,4358,$103.45,Swipe Transaction,32175,Overland Park,KS,66221.0,7538,,No
2156,285,Visa,Debit,4141516913053061,05/2020,962,YES,1,$20723,03/2007,2013,No,62,69,1957,8,Male,702 Elm Drive,36.95,-121.72,$16920,$34496,$33122,731,5,7577313,2010-01-27 06:51:00,5747,$80.00,Swipe Transaction,27092,San Jose,CA,95111.0,4829,,No
5111,1619,Mastercard,Credit,5105294422027242,03/2024,831,YES,1,$8300,10/2008,2010,No,31,66,1988,6,Male,693 Seventh Street,33.61,-96.6,$15737,$32086,$53595,747,4,19239992,2017-03-18 08:15:00,3015,$1.54,Chip Transaction,52021,Sherman,TX,75090.0,5411,Bad PIN,
2044,1074,Mastercard,Credit,5291527325386659,07/2022,396,YES,2,$4800,03/2003,2011,No,62,65,1957,6,Female,1305 Spruce Boulevard,44.66,-103.85,$16097,$32819,$25393,826,5,16201797,2015-06-07 14:24:00,4108,$50.75,Chip Transaction,43293,Little Rock,AR,72227.0,5499,Insufficient Balance,
2541,921,Mastercard,Debit,5535356277127261,04/2021,557,YES,1,$33980,04/2007,2010,No,74,66,1945,5,Male,960 Mill Lane,42.98,-77.67,$26072,$54013,$3628,779,8,11263450,2012-06-15 08:59:00,4675,$88.22,Swipe Transaction,20302,Rush,NY,14543.0,5300,,No
3627,1397,Amex,Credit,339750311058511,06/2020,70,YES,2,$13600,06/2018,2018,No,32,72,1987,4,Male,5381 12th Boulevard,36.88,-94.87,$17845,$36388,$92949,710,4,8187271,2010-06-27 18:40:00,2957,$5.00,Swipe Transaction,50867,Salina,OK,74365.0,5541,,No
3399,1983,Mastercard,Credit,5634102457746992,02/2020,250,YES,1,$17700,06/2008,2009,No,50,67,1969,3,Male,655 George Boulevard,33.55,-117.78,$69236,$141161,$0,773,3,10526119,2011-12-29 11:16:00,2653,$64.96,Swipe Transaction,63383,San Luis Obispo,CA,93405.0,7349,,
1671,1190,Mastercard,Debit,5944674876283297,08/2024,993,NO,1,$23805,02/2020,2020,No,49,65,1970,8,Female,4480 Essex Drive,33.0,-80.17,$21769,$44383,$42369,707,7,8773296,2010-11-16 06:13:00,5358,$23.52,Online Transaction,39021,ONLINE,,,4784,,No
3159,1089,Visa,Debit,4171386450929978,10/2020,702,YES,1,$32269,05/2014,2014,No,31,75,1988,9,Female,2725 Jefferson Drive,38.22,-85.74,$25258,$51501,$140481,729,3,14009477,2014-02-16 05:51:00,2682,$21.13,Swipe Transaction,33120,Louisville,KY,40299.0,5813,,No
1933,197,Visa,Credit,4021220662934810,02/2020,943,YES,2,$8000,02/2020,2020,No,32,60,1987,5,Male,1867 Bayview Street,37.86,-84.65,$15757,$32128,$58373,724,5,16202601,2015-06-07 16:54:00,1302,$97.64,Online Transaction,17976,ONLINE,,,4900,,No
3554,348,Visa,Credit,4877073763902898,07/2014,786,YES,2,$13300,06/2012,2012,No,49,70,1970,7,Female,480 Seventh Lane,40.22,-74.76,$22747,$46377,$79980,719,3,20211871,2017-10-09 18:13:00,3073,$40.00,Chip Transaction,27092,Lakewood,NJ,8701.0,4829,,No
2952,141,Visa,Debit,4385951951421354,02/2022,796,YES,2,$17235,05/2007,2007,No,70,66,1949,7,Male,744 Lafayette Street,31.02,-96.48,$17356,$23082,$23406,638,5,14287110,2014-04-17 21:32:00,4219,$13.30,Swipe Transaction,32175,Victoria,TX,77905.0,7538,,No
974,511,Mastercard,Debit (Prepaid),5117090980312402,10/2020,42,YES,1,$73,02/2000,2012,No,66,68,1953,10,Male,153 Tenth Lane,32.21,-110.88,$17460,$35602,$55369,661,5,19247513,2017-03-19 19:08:00,974,$34.72,Swipe Transaction,8021,Tucson,AZ,85746.0,5651,,No
5301,1086,Amex,Credit,318192766245088,11/2024,192,YES,2,$5400,10/2015,2015,No,57,64,1962,12,Female,442 Burns Boulevard,42.02,-71.21,$37407,$76274,$102611,698,2,8661363,2010-10-20 08:15:00,2947,$108.46,Swipe Transaction,99912,Mansfield,MA,2048.0,8043,,
1622,0,Mastercard,Debit,5691786126216800,06/2021,451,YES,2,$31008,02/2020,2020,No,33,69,1986,3,Male,858 Plum Avenue,43.59,-70.33,$29237,$59613,$36199,763,4,15557595,2015-01-19 13:38:00,1271,$43.30,Chip Transaction,16256,Scarborough,ME,4074.0,5211,,No
