id,client_id,card_brand,card_type,card_number,expires,cvv,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed,card_on_dark_web,current_age,retirement_age,birth_year,birth_month,gender,address,latitude,longitude,per_capita_income,yearly_income,total_debt,credit_score,num_credit_cards,id_right,date,card_id,amount,use_chip,merchant_id,merchant_city,merchant_state,zip,mcc,errors,fraud_label
2936,1030,Mastercard,Credit,5615880941381853,02/2024,761,YES,2,$12600,05/2007,2011,No,44,71,1975,10,Male,168 Mill Drive,45.63,-122.52,$22050,$44963,$90682,705,4,7600908,2010-02-02 07:37:00,2936,$50.22,Swipe Transaction,8986,Vancouver,WA,98684.0,7538,,
3422,1259,Mastercard,Debit (Prepaid),5018503647518453,06/2022,319,YES,1,$62,06/2009,2009,No,64,69,1955,7,Female,729 Littlewood Avenue,41.18,-73.42,$94302,$192269,$100192,700,6,18302054,2016-08-30 10:36:00,5406,$9.63,Chip Transaction,69972,Wilton,CT,6897.0,5814,,
4695,1407,Visa,Credit,4681503612415898,02/2014,86,YES,2,$8500,09/2008,2010,No,40,71,1979,12,Male,9466 Essex Street,33.43,-86.99,$19851,$40473,$54899,689,4,12224598,2013-01-18 08:50:00,5966,$5.13,Swipe Transaction,84425,Bessemer,AL,35023.0,5812,,
3892,1081,Mastercard,Debit,5307705411215347,07/2022,574,YES,1,$27377,07/2009,2016,No,31,60,1988,9,Female,9633 Mill Lane,39.69,-104.81,$24849,$50666,$102318,617,3,8745627,2010-11-09 11:53:00,3427,$66.00,Swipe Transaction,43293,Aurora,CO,80013.0,5499,,
1166,34,Mastercard,Debit,5039048842448184,11/2023,339,YES,2,$10775,02/2009,2010,No,41,55,1978,8,Male,7467 Spruce Drive,38.48,-121.34,$25431,$51854,$72162,737,2,14759621,2014-07-30 08:53:00,1166,$99.93,Swipe Transaction,49789,Sacramento,CA,95829.0,5541,,
3857,20,Mastercard,Debit,5375421607189929,07/2016,213,YES,1,$15771,07/2008,2016,No,86,67,1933,12,Female,3631 Plum Boulevard,32.42,-97.1,$19477,$23371,$0,757,8,7579215,2010-01-27 13:32:00,3895,$91.90,Swipe Transaction,30286,Weatherford,TX,76086.0,4814,,
5259,709,Mastercard,Debit,5953738621410056,12/2022,144,YES,1,$27123,10/2012,2012,No,26,66,1993,9,Female,3114 East Street,42.92,-88.84,$21057,$42931,$48783,742,3,13368470,2013-09-28 09:41:00,5259,$3.66,Swipe Transaction,50783,Middleton,WI,53562.0,5411,,
5582,1575,Visa,Debit,4753063175082230,02/2020,352,YES,2,$35791,11/2009,2009,No,51,68,1968,5,Female,23 12th Boulevard,27.19,-82.49,$28272,$57646,$127892,724,4,12976670,2013-07-04 09:34:00,224,$24.91,Online Transaction,16798,ONLINE,,,4121,,
5077,1916,Mastercard,Debit,5363716613146250,12/2008,937,YES,1,$11940,10/2007,2011,No,82,71,1937,4,Male,62696 Norfolk Drive,30.65,-84.69,$15069,$10142,$1809,767,7,14962256,2014-09-12 11:53:00,4863,$80.00,Swipe Transaction,27092,Campbellton,FL,32426.0,4829,,
5175,96,Visa,Credit,4395260796436247,07/2021,152,NO,2,$18900,10/2009,2013,No,69,66,1950,12,Female,20 Oak Street,33.89,-117.78,$38948,$99825,$4344,685,4,7882983,2010-04-13 17:43:00,3695,$66.84,Swipe Transaction,43293,Yorba Linda,CA,92887.0,5499,,
3018,1393,Visa,Debit,4412200129683784,05/2021,930,YES,2,$8845,05/2009,2010,No,52,67,1967,4,Female,6467 Birch Street,41.25,-97.12,$16901,$34460,$43936,692,2,17263715,2016-01-20 11:42:00,3018,$43.33,Chip Transaction,61195,North Bend,NE,68649.0,5541,,
3230,1940,Visa,Debit,4910409648688381,02/2021,257,NO,2,$311,06/2001,2011,No,40,65,1979,10,Female,464 Lake Drive,40.74,-73.85,$13177,$26865,$19529,826,5,13506104,2013-10-28 12:22:00,4218,$-79.00,Swipe Transaction,61195,Corona,NY,11368.0,5541,,
2854,1844,Mastercard,Credit,5172743861765175,07/2016,906,YES,1,$15700,05/2004,2011,No,79,72,1941,2,Male,829 Birch Boulevard,27.8,-97.39,$23608,$37503,$14272,706,5,7990922,2010-05-10 15:08:00,3702,$90.00,Swipe Transaction,43293,Corpus Christi,TX,78410.0,5499,,
